CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
VM-CUB-1,Cisplatin,AKT,3,3,1.518256348,3.4943249,31.60521011,0.33566617,1.8194435,67.23575731,12.5654,1,AKT.Cisplatin
T-24,FGFR,Cisplatin,3,3,3.00E-04,0.1,94.68316024,2.682124569,10,0,-2.680502,1,Cisplatin.FGFR
VM-CUB-1,FGFR,Cisplatin,3,3,1,0,100,1.907945193,2.2350575,0,2.019773,1,Cisplatin.FGFR
HT-1197,HDAC_4,Cisplatin,3,3,1.094770046,2.1932352,24.51144989,0.990582382,1.1222221,24.97020135,-0.7485192,1,Cisplatin.HDAC_4
SW780,HDAC_4,Cisplatin,3,3,0.819844754,0.4804785,0,3,2.270487,33.2512007,2.97875,1,Cisplatin.HDAC_4
HT-1376,PARP1,Cisplatin,3,3,3,0.3894857,47.53595551,1.35495275,1.1686348,0,18.8848,1,Cisplatin.PARP1
T-24,PARP1,Cisplatin,3,3,2.894576245,2.0898349,0,2.253887283,4.9137334,0,22.3704,1,Cisplatin.PARP1
647-V,PIK3C,Cisplatin,3,3,1.703068601,1.3994172,25.69157774,1.506055822,3.4506553,0,10.24573,1,Cisplatin.PIK3C
UM-UC-3,PIK3C,Cisplatin,3,3,2.281752437,1.2613234,0,1.321625149,2.5700303,0,4.513439,1,Cisplatin.PIK3C
HCC1569,CSNK2A1_2,AKT,0.1,3,0.002575237,1.4086728,20.42710761,1.053562061,0.4604586,0,2.081019,1,AKT.CSNK2A1_2
HCC1954,CSNK2A1_2,AKT,0.1,3,0.01468437,1.5005423,0,0.099929169,0.4198502,0,-20.88213,1,AKT.CSNK2A1_2
A549,CSNK2A1_2,ALK,0.1,3,0.014382751,4.7694856,9.22577976,1.466529948,3.0921983,0,7.100497,1,ALK.CSNK2A1_2
Calu-3,CSNK2A1_2,ALK,0.03,3,0.03,10,6.40002058,2.787301614,10,0,12.04267,1,ALK.CSNK2A1_2
NCI-H520,CSNK2A1_2,ALK,0.03,3,0.006781954,1.2025973,11.17625292,1.373212268,10,40.37593366,-8.59929,1,ALK.CSNK2A1_2
Calu-6,CSNK2A1_2,BCL2,0.03,3,0.007262932,1.8127118,8.98911392,1.914496019,0.6209478,0,10.84651,1,BCL2.CSNK2A1_2
NCI-H1975,CSNK2A1_2,BCL2,0.03,3,0.01158232,10,34.79520249,0.977554641,10,76.99966542,14.08155,1,BCL2.CSNK2A1_2
NCI-H2170,CSNK2A1_2,BCL2,0.03,3,0.007272919,2.0062382,8.74546095,0.567661533,2.0551324,11.22311139,28.75533,1,BCL2.CSNK2A1_2
NCI-H1437,CSNK2A1_2,CarboTaxol,0.1,0.003,0.009258685,1.8364352,8.7509488,0.001002224,1.2075296,0,-14.43279,1,CarboTaxol.CSNK2A1_2
NCI-H2228,CSNK2A1_2,CarboTaxol,0.1,0.003,0.042583286,0.7604713,0,0.000373173,0.7797232,20.90193119,6.70019,1,CarboTaxol.CSNK2A1_2
NCI-H23,CSNK2A1_2,CarboTaxol,0.1,0.01,0.007414113,1.6659403,12.42717892,0.001584963,3.3418519,11.99897864,-6.516483,1,CarboTaxol.CSNK2A1_2
NCI-H1299,CSNK2A1_2,Carboplatin,0.1,3,0.024876125,2.6000662,10.16620372,3,1.8697169,3.93322047,0.9183681,1,Carboplatin.CSNK2A1_2
NCI-H358,CSNK2A1_2,Carboplatin,0.1,3,0.012691524,3.7198599,16.20529712,1.354043748,2.7891099,29.37503359,-21.99008,1,Carboplatin.CSNK2A1_2
NCI-H838,CSNK2A1_2,Carboplatin,0.1,3,0.008272778,3.7110122,6.79267906,2.693913068,1.5999744,0,-1.941142,1,Carboplatin.CSNK2A1_2
NCI-H1437,Gemcitabine,CSNK2A1_2,0.01,0.1,0.001667889,1.1211908,0,0.010409617,3.6648276,11.24592098,-23.36822,1,CSNK2A1_2.Gemcitabine
NCI-H358,Gemcitabine,CSNK2A1_2,0.01,0.1,0.002530932,1.7516636,23.08445443,0.011943953,4.3736996,16.052937,-13.62375,1,CSNK2A1_2.Gemcitabine
SW900,Gemcitabine,CSNK2A1_2,0.01,0.01,0.000962072,1.8191389,2.15592716,0.003443326,1.7672931,26.88137303,-3.858157,1,CSNK2A1_2.Gemcitabine
NCI-H2291,SYK,CSNK2A1_2,3,0.01,3,3.4009763,50.21798415,0.002057764,2.3682484,27.66754929,4.295854,1,CSNK2A1_2.SYK
NCI-H838,SYK,CSNK2A1_2,3,0.1,1.419921947,2.3559704,0,0.007698884,2.7921914,5.94178745,3.956226,1,CSNK2A1_2.SYK
SW900,SYK,CSNK2A1_2,3,0.01,2.290071398,1.1174283,67.63992051,0.003260927,2.3923903,24.98609677,8.287549,1,CSNK2A1_2.SYK
HT-1376,PARP1,EG5,3,0.1,0.311349038,1.4654379,79.97316639,0.001416261,3.5182636,28.66965575,-1.325124,1,EG5.PARP1
SW780,PARP1,EG5,3,0.003,1,0,100,0.003,10,90.0001759,3.447342,1,EG5.PARP1
J82,PIM1,EG5,3,3,0.267582028,10,85.099794,3.00E-04,0.1284361,0,-10.84592,1,EG5.PIM1
UM-UC-3,PIM1,EG5,3,0.003,1,0,100,0.003,0.5049423,76.15649905,-12.11929,1,EG5.PIM1
CAL-148,EGFR,AKT,0.1,1,1,0,100,0.162319599,1.3631106,2.02655845,-2.131063,1,AKT.EGFR
HCC1395,EGFR,AKT,0.1,1,0.1,0.4261941,80.05843793,1,0.5928175,7.74697569,3.127815,1,AKT.EGFR
HCC1806,EGFR,AKT,0.1,1,0.029961206,0.5962754,88.31469082,1,0.9214231,14.53775333,-12.6608,1,AKT.EGFR
MDA-MB-453,EGFR,AKT,0.1,1,0.043143834,0.5671667,15.13881156,0.328942733,0.7399684,0,19.15694,1,AKT.EGFR
CAL-51,EGFR,AKT_1,0.1,1,1,0,100,0.977003008,1.0188974,19.31764302,-21.38677,1,AKT_1.EGFR
DU-4475,EGFR,AKT_1,0.1,1,1.00E-05,0.1,83.94014821,0.078925759,0.72026,0,5.43217,1,AKT_1.EGFR
HCC1428,EGFR,AKT_1,0.1,1,1,0,100,1,0,100,8.190506,1,AKT_1.EGFR
M14,EGFR,AKT_1,0.1,1,0.030131975,10,54.39967831,0.384641138,10,85.6989845,28.0483,1,AKT_1.EGFR
CAL-120,EGFR,BCL2_BCL2L1,0.1,1,1,0,100,0.215417311,3.6339894,52.02142142,21.10392,1,BCL2_BCL2L1.EGFR
CAL-148,EGFR,BCL2_BCL2L1,0.1,1,0.000285844,0.4659597,85.2267804,0.588688968,0.8381519,0,-20.48469,1,BCL2_BCL2L1.EGFR
MDA-MB-468,EGFR,BCL2_BCL2L1,0.1,1,0.030563594,10,80.59985616,0.234753039,1.7962167,68.60642773,62.1331,1,BCL2_BCL2L1.EGFR
M14,EGFR,BCL2_BCL2L1,0.1,1,0.001654296,10,65.22546996,0.066519498,0.869822,11.10838234,13.09637,1,BCL2_BCL2L1.EGFR
CAL-120,FGFR,EGFR,1,0.1,1,0,100,1,0,100,64.61455,1,EGFR.FGFR
HCC1806,FGFR,EGFR,1,0.1,1,0,100,1,0,100,5.660617,1,EGFR.FGFR
MDA-MB-436,FGFR,EGFR,1,0.1,0.309958856,3.9216531,87.17232064,0.008822941,2.5198008,89.59765326,1.363866,1,EGFR.FGFR
HCC1143,MAP2K_1,EGFR,1,0.1,0.104298017,0.5386355,37.7684237,0.002267173,2.192802,70.66305743,52.58064,1,EGFR.MAP2K_1
HCC1806,MAP2K_1,EGFR,1,0.1,0.658238167,0.9409637,0,1,0,100,26.1741,1,EGFR.MAP2K_1
HCC1937,MAP2K_1,EGFR,1,0.1,0.179960049,0.4899322,71.73396275,0.1,0.3321522,60.01380973,38.84389,1,EGFR.MAP2K_1
MDA-MB-436,MAP2K_1,EGFR,1,0.1,0.82898958,0.3982046,29.82804782,0.1,0.1676818,89.55853662,27.72996,1,EGFR.MAP2K_1
BT-20,EGFR_2,AKT_1,3,3,3,0.3188101,43.73266826,0.833784103,1.4151731,39.34849543,41.39775,1,AKT_1.EGFR_2
HCC1569,EGFR_2,AKT_1,3,3,3,0.5070528,64.82807858,1.416429521,0.4694591,0,24.62082,1,AKT_1.EGFR_2
MDA-MB-468,EGFR_2,AKT_1,3,3,0.071432575,1.7990408,63.5254934,3,0.6228194,9.84009952,71.33031,1,AKT_1.EGFR_2
NCI-H1793,EGFR_2,ALK,1,3,0.092042374,1.0666097,56.09847294,1.387846277,1.2760215,0,32.07535,1,ALK.EGFR_2
NCI-H2085,EGFR_2,ALK,1,3,0.10644861,0.7679748,53.32844048,0.993165393,1.3435483,0,27.82958,1,ALK.EGFR_2
NCI-H3122,EGFR_2,ALK,1,3,1.00E-04,0.1,88.8826782,0.040189034,3.2547823,0,22.76955,1,ALK.EGFR_2
NCI-H520,EGFR_2,ALK,1,3,1,0,100,1.175136704,10,43.9952343,-8.235301,1,ALK.EGFR_2
BT-549,ERBB,AKT,1,1,0.081206639,1.8233599,91.94821922,0.258617958,0.9133761,40.62102145,-1.692525,1,AKT.ERBB
HCC38,ERBB,AKT,1,1,0.006389758,2.6665614,93.39100746,1,10,58.20015104,11.16846,1,AKT.ERBB
MDA-MB-361,ERBB,AKT,3,3,0.383628185,0.8768329,31.51967741,0.552563933,1.6605931,19.58940353,64.45,1,AKT.ERBB
MDA-MB-415,ERBB,AKT,3,3,1,0,100,0.001394273,0.3428545,5.93422118,7.746167,1,AKT.ERBB
MFM-223,ERBB,AKT,1,1,1,0,100,0.172915547,1.2903723,5.18120969,13.76105,1,AKT.ERBB
T47D,ERBB,AKT,3,3,3,0.404456,27.56679948,0.12829564,1.1304723,22.01044475,35.35149,1,AKT.ERBB
CAL-51,FGFR,ERBB,1,1,1,0.417675,56.75818538,0.028840911,2.0030046,89.92026873,17.36062,1,ERBB.FGFR
HCC38,FGFR,ERBB,1,1,0.009016494,1.897804,74.28632144,1.00E-04,0.1,79.88362416,57.08667,1,ERBB.FGFR
MDA-MB-453,FGFR,ERBB,1,1,0.167025949,3.2410223,24.21889756,0.291891629,10,52.99968341,6.498541,1,ERBB.FGFR
SW780,FGFR,ERBB,3,3,3,0.3320148,74.23993951,1,0,100,204.428,1,ERBB.FGFR
UM-UC-3,IAP,ERBB,0.03,3,0.010754574,0.7922126,44.97773519,1.171231333,10,71.29763815,-25.61069,1,ERBB.IAP
VM-CUB-1,IAP,ERBB,0.03,3,0.000857686,0.8738978,68.90870128,0.225437116,1.6158552,55.80619652,-37.74965,1,ERBB.IAP
BT-549,MAP2K_1,ERBB,1,1,0.005192112,0.624951,88.12310529,0.0123139,10,90.94989124,2.70114,1,ERBB.MAP2K_1
CAL-51,MAP2K_1,ERBB,1,1,1,1.3310187,73.36592895,0.257612686,0.9925133,89.70562878,9.323546,1,ERBB.MAP2K_1
HCC1143,MAP2K_1,ERBB,1,1,0.118651306,0.6051671,41.69691614,0.024765711,0.9241656,66.08451067,59.8119,1,ERBB.MAP2K_1
MDA-MB-436,MAP2K_1,ERBB,1,1,0.135917665,0.7861311,61.929832,1,10,89.60004964,24.92586,1,ERBB.MAP2K_1
TCCSUP,MAP2K_1,ERBB,3,3,3,0.2435111,20.96653681,0.005517601,0.1,80.05402492,5.529834,1,ERBB.MAP2K_1
HCC1428,MTOR_1,ERBB,1,1,0.315108551,2.8645538,56.88731933,1,0,100,5.157013,1,ERBB.MTOR_1
HCC1937,MTOR_1,ERBB,1,1,1,0.641336,52.52692906,0.009695573,0.471611,75.25696822,23.61464,1,ERBB.MTOR_1
HCC70,MTOR_1,ERBB,1,3,0.064909015,0.4940163,8.03429794,0.273500848,2.0729132,22.08600937,29.53267,1,ERBB.MTOR_1
MDA-MB-157,MTOR_1,ERBB,1,3,0.290855749,0.6235687,0,3,1.4364923,43.57832043,18.35449,1,ERBB.MTOR_1
MDA-MB-453,MTOR_1,ERBB,1,3,0.075188868,2.2003422,10.96763568,3,0.6133918,16.05737997,20.87591,1,ERBB.MTOR_1
MFM-223,MTOR_1,ERBB,1,1,0.23037477,1.1788859,13.09654086,0.132329533,10,92.69998791,-9.382325,1,ERBB.MTOR_1
BT-549,PIK3CA_4,ERBB,1,1,0.230691507,2.1474767,79.2439519,0.302351484,10,84.5998192,-10.93652,1,ERBB.PIK3CA_4
CAL-51,PIK3CA_4,ERBB,1,1,1,1.0106082,36.57537551,1,10,83.20004,9.452282,1,ERBB.PIK3CA_4
HCC1806,PIK3CA_4,ERBB,1,1,0.321987467,9.9969555,67.59961023,1,0,100,-11.43228,1,ERBB.PIK3CA_4
MDA-MB-468,PIK3CA_4,ERBB,1,1,1,0,100,0.106504288,10,88.19987609,17.9368,1,ERBB.PIK3CA_4
BT-20,ESR1,AKT_1,1,1,1,10,71.400137,1,0.702248,32.53976558,-5.961399,1,AKT_1.ESR1
HCC1806,ESR1,AKT_1,1,1,1.00E-04,0.1,90.02118668,0.273372078,0.9882436,8.62472403,-12.48655,1,AKT_1.ESR1
MDA-MB-157,ESR1,AKT_1,1,1,0.186127539,10,85.56445309,1,0.4812878,39.83896365,4.528651,1,AKT_1.ESR1
MDA-MB-436,ESR1,AKT_1,1,1,1,0,100,0.209500176,10,91.68876846,-10.63758,1,AKT_1.ESR1
CAL-120,FGFR,ESR1,1,1,0.108075147,10,79.04977057,1,10,94.40013699,-6.589827,1,ESR1.FGFR
HCC38,FGFR,ESR1,1,1,0.041240988,2.6584512,86.28070223,1,0,100,16.90874,1,ESR1.FGFR
M14,FGFR,ESR1,1,1,1,10,82.00012335,0.008122442,10,92.35001207,-5.12609,1,ESR1.FGFR
HCC1143,MAP2K_1,ESR1,1,1,0.045678887,0.5617985,42.03154383,1,0,100,-12.28567,1,ESR1.MAP2K_1
HCC1395,MAP2K_1,ESR1,1,1,0.095793838,2.040157,80.8140491,1,0,100,-3.405475,1,ESR1.MAP2K_1
HCC70,MAP2K_1,ESR1,1,1,0.219001477,1.3892379,85.90180756,1,0,100,10.45204,1,ESR1.MAP2K_1
CAL-148,MTOR_1,ESR1,1,1,0.312023059,1.5130911,54.63454116,1,0,100,1.979788,1,ESR1.MTOR_1
HCC1143,MTOR_1,ESR1,1,1,0.402346978,1.4089981,29.89361118,1,0,100,-2.400857,1,ESR1.MTOR_1
HCC1937,MTOR_1,ESR1,1,1,0.877923176,1.267568,68.08851009,1,0,100,9.233516,1,ESR1.MTOR_1
HCC38,MTOR_1,ESR1,1,1,0.311301484,10,72.09972753,1,0,100,10.82576,1,ESR1.MTOR_1
HCC1419,ESR1_1,AKT_1,3,3,3,0.3190277,33.13885177,0.178712822,0.7958327,26.01135908,44.72711,1,AKT_1.ESR1_1
HCC70,ESR1_1,AKT_1,3,3,3,0.6687548,12.10744555,0.324778662,0.6096475,8.78707724,47.84539,1,AKT_1.ESR1_1
MDA-MB-361,ESR1_1,AKT_1,3,3,3,0.1590072,51.14478884,0.112282109,0.8961353,16.79053617,44.39475,1,AKT_1.ESR1_1
BT-20,MTOR_1,ESR1_1,1,0.1,0.093441419,0.8461883,23.43664626,0.1,1.473225,57.35600307,6.625989,1,ESR1_1.MTOR_1
HCC1419,MTOR_1,ESR1_1,1,3,0.13897006,2.8938539,27.92175386,3,0.4048805,41.50936664,-4.299855,1,ESR1_1.MTOR_1
HCC1954,MTOR_1,ESR1_1,1,3,0.081643185,1.2335869,13.50728836,3,10,44.60063679,5.452487,1,ESR1_1.MTOR_1
CAMA-1,PIK3C,ESR1_1,3,3,0.620957519,0.9706899,3.91742228,3.00E-04,0.1,4.92405603,19.46396,1,ESR1_1.PIK3C
MDA-MB-157,PIK3C,ESR1_1,3,3,2.069418652,1.3592659,51.79273949,1,0,100,38.15052,1,ESR1_1.PIK3C
T47D,PIK3C,ESR1_1,3,3,0.247457782,1.6930163,31.39296705,3.00E-04,0.1,42.02179426,75.39762,1,ESR1_1.PIK3C
BT-20,MTOR_1,ESR1_3,1,3,0.110073969,1.9843095,36.43332744,3,10,88.60050091,7.238992,1,ESR1_3.MTOR_1
HCC1419,MTOR_1,ESR1_3,1,3,0.172272971,2.7039309,25.58131442,0.588195508,0.56538,52.31852569,13.10612,1,ESR1_3.MTOR_1
HCC70,MTOR_1,ESR1_3,1,3,0.205697202,0.8465197,17.57270552,0.000409226,8.457043,89.02,36.89121,1,ESR1_3.MTOR_1
CAL-120,FASN,BCL2_BCL2L1,1,1,1,10,94.00040848,0.169296276,2.9721636,40.01069861,30.52438,1,BCL2_BCL2L1.FASN
CAL-51,FASN,BCL2_BCL2L1,1,1,1,10,86.60003064,1,0.6350668,76.89840815,0.4551664,1,BCL2_BCL2L1.FASN
CAMA-1,FASN,BCL2_BCL2L1,1,1,0.103151706,1.0030976,84.12567546,0.224475039,0.7271729,78.71509392,-2.209088,1,BCL2_BCL2L1.FASN
HCC1428,FASN,BCL2_BCL2L1,1,1,0.248310348,10,90.79709201,0.120980806,1.2287857,10.01448914,36.954,1,BCL2_BCL2L1.FASN
BT-20,MAP2K_1,FASN,1,1,0.071948398,1.0582311,54.5009931,0.196457344,0.995318,55.84193717,29.03847,1,FASN.MAP2K_1
HCC1395,MAP2K_1,FASN,1,1,1,0.5016211,65.64993088,0.176588975,0.4262742,94.77660351,28.34448,1,FASN.MAP2K_1
HCC70,MAP2K_1,FASN,1,1,0.330135662,0.6530727,43.04128946,1.00E-04,4.2105905,92.54,17.56783,1,FASN.MAP2K_1
CAL-120,MTOR_1,FASN,1,1,0.171315614,2.3269442,36.5396871,1.00E-04,0.1,87.99573703,-8.240528,1,FASN.MTOR_1
DU-4475,MTOR_1,FASN,1,1,0.125839549,1.1479737,20.10679926,1,1.1325263,63.38914574,2.832365,1,FASN.MTOR_1
HCC70,MTOR_1,FASN,1,1,0.571858203,0.7609342,0,1.00E-04,0.1,93.05816763,-16.79818,1,FASN.MTOR_1
MDA-MB-436,MTOR_1,FASN,1,1,0.181697703,2.6424512,26.45543901,1,10,91.40004727,0.463901,1,FASN.MTOR_1
BT-20,FGFR,AKT,1,1,1,0.4668495,61.53093623,1,0.4287568,45.88606427,-0.467887,1,AKT.FGFR
MCF7,FGFR,AKT,3,3,2.679616075,1.3307877,0,0.908092246,0.702925,1.58706786,-8.702746,1,AKT.FGFR
MDA-MB-157,FGFR,AKT,1,1,0.032313358,2.0290003,34.19172492,0.197096176,10,84.28574708,13.30299,1,AKT.FGFR
NCI-H1703,FGFR,AKT,3,3,1.841599454,1.2789177,0,0.247722223,1.3437034,10.89229633,-13.64501,1,AKT.FGFR
BFTC-905,FGFR,BCL2_BCL2L1,3,3,3,10,37.00077907,0.625625481,2.1850888,70.48733796,3.842503,1,BCL2_BCL2L1.FGFR
BT-474,FGFR,BCL2_BCL2L1_BCL2L2,1,1,1,0,100,1,10,80.40013467,-29.48545,1,BCL2_BCL2L1_BCL2L2.FGFR
DMS-114,FGFR,BCL2_BCL2L1_BCL2L2,3,3,0.162277276,2.3048242,13.9406136,3,0.4522001,46.50628312,-9.745648,1,BCL2_BCL2L1_BCL2L2.FGFR
NCI-H1703,FGFR,BCL2_BCL2L1_BCL2L2,3,3,1.653280869,1.463597,9.20427318,3,1.180008,29.24422511,29.35147,1,BCL2_BCL2L1_BCL2L2.FGFR
NCI-H1703,FGFR,Chloroquine,3,3,1.963903426,1.4700424,0,1.060548173,10,15.9973802,-13.81034,1,Chloroquine.FGFR
NCI-H520,FGFR,Chloroquine,3,3,0.065640497,2.1417923,65.87658414,1.221289976,10,82.39779888,5.047053,1,Chloroquine.FGFR
KATOIII,FGFR,ERBB,0.01,3,0.003634138,10,16.69664972,1.038881066,10,72.39928163,7.404942,1,ERBB.FGFR
KMS-11,FGFR,ERBB,0.03,3,0.015902129,10,47.80876161,3.00E-04,0.1,90.39976905,-21.53985,1,ERBB.FGFR
MFM-223,MTOR_1,FGFR,1,1,0.30660881,1.2928065,6.99968599,0.126364602,0.6045424,5.06832069,24.27678,1,FGFR.MTOR_1
NCI-H520,MTOR_1,FGFR,1,3,0.167678484,1.5174547,17.9419016,0.158357927,1.2399322,63.31397229,73.34624,1,FGFR.MTOR_1
SW780,MTOR_1,FGFR,1,3,0.38467641,2.4304769,11.6095278,0.629725411,0.4551813,0,-33.1241,1,FGFR.MTOR_1
CAMA-1,MTOR_3,FGFR,1,1,1.00E-04,0.1,7.97685877,0.118318271,10,86.5995992,19.8305,1,FGFR.MTOR_3
HCC1500,MTOR_3,FGFR,1,1,0.000216788,9.7969963,11.28000002,0.337601849,0.6963943,0,8.332362,1,FGFR.MTOR_3
CAMA-1,PIK3C_MTOR,FGFR,1,1,0.250437041,3.7149164,33.62354946,1,0,100,25.62621,1,FGFR.PIK3C_MTOR
HCC1419,PIK3C_MTOR,FGFR,1,1,0.12200796,6.9023043,12.96205668,1,0,100,-6.69035,1,FGFR.PIK3C_MTOR
HCC1419,Proteasome_2,FGFR,1,1,0.009430277,1.7571689,11.00780425,1,0,100,1.368283,1,FGFR.Proteasome_2
NCI-H1703,Proteasome_2,FGFR,0.1,3,0.002212558,3.1176491,1.70475336,1.937457758,1.1428852,0,9.185287,1,FGFR.Proteasome_2
T47D,Proteasome_2,FGFR,1,1,0.009713884,2.767486,17.31750405,1,0,100,-5.235631,1,FGFR.Proteasome_2
CAL-120,WNT,FGFR,3,3,0.133972924,1.023512,9.1872469,0.057380913,0.5757463,39.49222786,16.16667,1,FGFR.WNT
DMS-114,WNT,FGFR,3,3,0.446755627,1.8085165,13.1382737,0.195975682,2.9804496,19.03665147,-9.653183,1,FGFR.WNT
647-V,Gemcitabine,ATM,0.1,3,0.005075814,3.2545559,0,0.226768089,0.5797274,93.80555298,7.063501,1,ATM.Gemcitabine
HT-1197,Gemcitabine,ATM,0.1,3,0.007324043,3.2664685,27.18859927,1,0,100,11.54289,1,ATM.Gemcitabine
HT-1197,Gemcitabine,BCL2_BCL2L1,0.1,3,0.005788002,1.4162832,16.32763017,2.999999986,0.1554789,70.31722527,26.631,1,BCL2_BCL2L1.Gemcitabine
VM-CUB-1,Gemcitabine,BCL2_BCL2L1,0.1,3,0.004717763,3.5970624,6.47459912,0.1205262,0.8878901,82.90464943,22.02222,1,BCL2_BCL2L1.Gemcitabine
TCCSUP,Gemcitabine,ERBB,0.1,3,0.002802787,3.8470733,8.07273307,3,0.7260776,85.11499845,2.7314,1,ERBB.Gemcitabine
VM-CUB-1,Gemcitabine,ERBB,0.1,3,0.006025116,3.7795979,5.26628384,1.374169974,10,79.99186752,-10.00253,1,ERBB.Gemcitabine
647-V,PARP1,Gemcitabine,3,0.1,3,0.6527785,46.91729919,0.004799331,3.4740091,0,17.45411,1,Gemcitabine.PARP1
TCCSUP,PARP1,Gemcitabine,3,0.1,2.410466004,1.4969622,40.85989718,0.003107803,10,9.36636465,-1.577607,1,Gemcitabine.PARP1
BFTC-905,HDAC_4,ATR_4,3,3,0.374906334,1.9765672,14.81859184,1.044105178,3.3772771,11.56544786,-24.89871,1,ATR_4.HDAC_4
KU-19-19,HDAC_4,ATR_4,3,3,0.998240139,10,9.39842698,1.30925985,10,22.58060061,-29.57516,1,ATR_4.HDAC_4
SW780,PARP1,HDAC_4,3,3,3.00E-04,0.1,86.19900658,0.610024428,0.4057367,0,10.51917,1,HDAC_4.PARP1
HT-1197,PARP1,HSP90,3,3,0.791847226,2.8446611,69.75836011,0.130405802,2.2772262,23.54810099,11.94276,1,HSP90.PARP1
UM-UC-3,PARP1,HSP90,3,0.3,1.079807281,9.6896008,85.09925471,0.116048569,10,19.09393048,35.66215,1,HSP90.PARP1
A549,IAP,ATR_4,3,3,3,0.2487201,67.64209935,1.263161499,10,39.88947427,12.82149,1,ATR_4.IAP
J82,IAP,ATR_4,3,3,0.002601207,0.3573043,11.42696557,3,1.2176992,2.10992066,-5.438657,1,ATR_4.IAP
NCI-H2170,IAP,ATR_4,3,3,0.037019162,0.3008634,74.60744959,1.069807748,10,59.39864103,-41.92062,1,ATR_4.IAP
NCI-H3122,IAP,ATR_4,0.3,3,1,0,100,1.028532131,10,9.09788521,21.20925,1,ATR_4.IAP
TCCSUP,IAP,ATR_4,0.03,3,0.000288249,0.5492587,68.53877242,0.83632105,2.2925507,18.38265089,32.46173,1,ATR_4.IAP
BT-20,IAP,BCL2L1,3,3,3,0.2413087,54.24787282,3,0.1555315,50.03301287,102.0156,1,BCL2L1.IAP
CAMA-1,IAP,BCL2L1,3,3,3.00E-04,0.1248447,0,3,0.2902079,70.81677582,18.39544,1,BCL2L1.IAP
HCC1569,IAP,BCL2L1,3,3,3,0.1085743,8.08198875,0.658420637,0.358655,0,90.18785,1,BCL2L1.IAP
HCC70,IAP,BCL2L1,3,3,0.27927852,2.3054186,5.09486803,0.17163925,1.8556368,6.52229087,0.9717134,1,BCL2L1.IAP
MDA-MB-468,IAP,BCL2L1,3,3,3,0.2762553,20.82908552,3,0.4733886,41.89303947,58.66853,1,BCL2L1.IAP
NCI-H522,IAP,BCL2L1,0.3,3,0.006451814,0.1998991,0,3,0.1400977,58.52534958,69.62387,1,BCL2L1.IAP
BFTC-905,IAP,BCL2_BCL2L1,3,3,3.00E-04,0.2736087,0,0.911424148,0.6483392,53.90823509,0.1546429,1,BCL2_BCL2L1.IAP
SW780,IAP,BCL2_BCL2L1,0.03,0.3,0.005467255,1.3553328,77.00415227,0.016176724,1.0728676,21.71148378,34.44409,1,BCL2_BCL2L1.IAP
RKO,IAP,CHEK1,1,0.3,0.058438588,1.0379582,79.40308627,0.3,10,63.00048755,-1.013762,1,CHEK1.IAP
SW620,IAP,CHEK1,1,0.3,1,0,100,0.170878759,1.8309914,0,32.23485,1,CHEK1.IAP
SW837,IAP,CHEK1,1,0.3,0.163906894,10,78.18733988,0.071997073,2.2176517,4.37139022,24.55307,1,CHEK1.IAP
DMS-114,IAP,Doxorubicin,3,0.1,3,0.4235042,35.98453149,0.023659348,1.8431607,4.92517525,-4.409151,1,Doxorubicin.IAP
NCI-H1299,IAP,Doxorubicin,1,0.3,0.039999104,1.0226315,32.13273654,0.045728801,1.9503025,11.86169409,27.86671,1,Doxorubicin.IAP
NCI-H2085,IAP,Doxorubicin,3,0.3,0.484774562,0.2282585,0,0.027462422,2.0729148,28.00102002,25.40615,1,Doxorubicin.IAP
NCI-H747,IGFR_3,IAP,10,1,0.001,0.1,81.38826089,0.353273754,0.2303135,0,-13.80457,1,IAP.IGFR_3
RKO,IGFR_3,IAP,10,1,10,10,78.40000727,1,0.3341029,69.19620717,48.43133,1,IAP.IGFR_3
C32,IGFR_4,IAP,10,1,2.379182108,1.4905517,0,0.007268108,10,10.14999373,2.807034,1,IAP.IGFR_4
NCI-H747,IGFR_4,IAP,10,1,3.899046564,0.4971337,0,0.44542787,0.3234488,0,53.06527,1,IAP.IGFR_4
NCI-H747,JAK,IAP,3,1,1.339340206,2.2018972,33.0081423,0.397992597,0.2358632,0,5.876439,1,IAP.JAK
SW48,JAK,IAP,3,1,0.67331293,1.5848742,0,1.00E-04,0.1,82.277743,-2.786328,1,IAP.JAK
LS-513,Oxaliplatin,IAP,10,1,0.01246676,1.1353141,4.57931069,1,0,100,2.36097,1,IAP.Oxaliplatin
SW948,Oxaliplatin,IAP,10,1,0.279153446,0.8643045,0,1,1.8822033,61.33113919,35.43493,1,IAP.Oxaliplatin
HT-1197,PARP1,IAP,3,3,3,0.3907749,27.82479626,3,2.3615168,19.71799824,21.09236,1,IAP.PARP1
J82,PARP1,IAP,3,3,3,0.6023169,63.27132409,3.00E-04,0.1426104,0,9.118329,1,IAP.PARP1
SW780,PARP1,IAP,3,0.03,1,0,100,0.002992572,0.993817,61.11208579,33.42572,1,IAP.PARP1
Calu-6,PIK3C,IAP,3,1,0.57338975,4.0311942,84.389454,1.00E-04,0.1,46.53474692,2.426966,1,IAP.PIK3C
